PDB_ID,peptide_chain_ID,peptide_length,number_of_atoms_in_peptide,protein_chain_ID,number_of_atoms_in_protein,number_of_atom_contacts_between_peptide_and_protein,unknown,noncanonical_peptide,resolution,molecular_type
1c5n,L,36,287,H,2039,161,0,0,1.5,prot
1c5o,L,36,287,H,2039,160,0,0,1.9,prot
1c5w,A,9,72,B,1957,54,0,0,1.94,prot
1c5x,A,9,72,B,1957,54,0,0,1.75,prot
1c5y,A,9,72,B,1957,54,0,0,1.65,prot
1c5z,A,9,72,B,1930,51,0,0,1.85,prot
1c8o,B,32,251,A,2295,222,0,0,2.9,prot
1c94,A,37,305,B,305,91,0,0,2.08,prot
1ca8,A,26,208,B,1969,124,0,0,2.1,prot
1cag,A,29,187,B,191,145,0,1,1.85,prot
1cdk,I,20,157,A,2828,104,0,0,2,prot
1cdl,E,19,156,A,1097,125,0,0,2,prot
1cdm,B,18,139,A,1040,116,0,0,2,prot
1ce0,A,35,297,B,302,89,0,0,2.4,prot
1ce9,A,34,282,B,282,98,0,0,1.8,prot
1cf4,B,44,342,A,1436,242,0,0,-1,prot
1cff,B,20,177,A,1166,75,0,0,-1,prot
1cfw,A,36,261,B,261,105,0,0,1.9,prot
1cgd,A,30,192,B,192,143,0,1,1.85,prot
1ciq,A,37,283,B,203,139,0,0,2.2,prot
1ciq,B,24,203,A,283,124,0,0,2.2,prot
1cir,A,39,302,B,203,141,0,0,-1,prot
1cir,B,24,203,A,302,124,0,0,-1,prot
1ckk,B,26,213,A,1166,157,0,0,-1,prot
1clv,I,32,246,A,3606,113,0,0,2,prot
1cm1,B,18,139,A,1119,119,0,0,2,prot
1cm4,B,18,139,A,1119,114,0,0,2,prot
1cmk,I,20,156,E,2874,101,0,1,2.9,prot
1cn3,F,29,196,E,2213,49,0,0,2.2,prot
1cos,A,31,236,B,236,75,0,1,2.1,prot
1cph,A,21,160,B,240,96,1,0,1.9,prot
1cph,B,30,240,A,160,108,1,1,1.9,prot
1cq4,A,37,287,B,194,141,0,0,1.8,prot
1cq4,B,23,194,A,287,126,0,1,1.8,prot
1csb,A,47,364,B,1574,256,0,0,2,prot
1cta,A,36,273,B,273,76,0,1,-1,prot
1ctd,A,36,273,B,273,91,0,1,-1,prot
1ctp,I,18,140,E,2580,91,0,1,2.9,prot
1czq,A,46,384,D,131,32,0,1,1.5,prot
1d3d,A,28,231,B,2025,133,0,0,2.04,prot
1d3p,A,28,231,B,2025,131,0,0,2.1,prot
1d3q,A,28,231,B,2025,130,0,0,2.9,prot
1d3t,A,28,231,B,2025,128,0,0,3,prot
1d4p,A,28,231,B,2025,132,0,0,2.07,prot
1d5s,B,41,331,A,2653,261,0,0,3,prot
1d6g,A,47,365,B,74,45,0,0,-1,prot
1dcd,A,36,261,B,261,109,0,0,2,prot
1dd3,C,32,250,A,945,100,0,0,2,prot
1dd4,C,35,264,A,945,101,0,0,2.4,prot
1de7,L,28,231,H,2014,132,0,0,2,prot
1dei,A,21,163,B,178,57,0,0,1.6,prot
1dei,B,23,178,A,163,52,0,0,1.6,prot
1dev,B,41,289,A,1549,156,0,0,2.2,prot
1dfn,A,30,235,B,235,57,0,0,1.9,prot
1dhg,A,36,261,B,261,107,0,0,2.5,prot
1dit,L,29,235,H,2016,134,1,0,2.3,prot
1dit,P,16,114,H,2016,102,1,1,2.3,prot
1dm4,A,33,263,B,2038,156,0,0,2.5,prot
1dml,B,36,263,A,2059,162,0,0,2.7,prot
1dow,B,32,253,A,1571,132,0,1,1.8,prot
1dph,A,21,160,B,236,96,2,0,1.9,prot
1dph,B,30,236,A,160,110,2,1,1.9,prot
1dpj,B,29,223,A,2519,148,0,1,1.8,prot
1ds5,E,16,135,B,2735,52,0,0,3.16,prot
1dt7,X,22,178,A,748,45,0,0,-1,prot
1dum,A,23,178,B,178,71,0,0,-1,prot
1dva,X,19,151,H,1974,73,0,1,3,prot
1dwb,L,29,235,H,2037,121,0,0,3.16,prot
1dwc,L,29,235,H,2031,121,0,0,3,prot
1dwd,L,29,235,H,2037,123,0,0,3,prot
1dwe,L,28,227,H,2037,118,0,0,3,prot
1dx5,A,36,287,M,2094,142,0,0,2.3,prot
1dxg,A,36,261,B,261,101,0,0,1.8,prot
1dzi,B,22,143,C,143,108,0,1,2.1,prot
1e0a,B,46,359,A,1436,152,0,0,-1,prot
1e0f,A,36,287,D,2080,127,0,0,3.1,prot
1eb1,L,27,223,H,2080,130,0,0,1.8,prot
1eba,C,16,132,D,132,55,0,1,2.7,prot
1ebd,C,41,304,B,3348,51,0,0,2.6,prot
1ebp,C,16,130,D,130,53,0,0,2.8,prot
1eci,A,37,290,B,260,80,0,0,-1,prot
1eci,B,34,260,A,290,88,0,0,-1,prot
1edm,B,39,295,C,295,57,0,0,1.5,prot
1ees,B,46,362,A,1389,251,0,0,-1,prot
1egp,A,39,323,B,181,136,0,0,2,prot
1egp,B,22,181,A,323,135,0,0,2,prot
1ehk,C,33,259,A,4294,127,0,0,2.4,prot
1ei8,A,29,183,B,183,152,0,1,2,prot
1ejp,A,28,233,B,233,91,0,0,-1,prot
1ejq,A,28,233,B,233,115,0,0,-1,prot
1ept,A,43,315,B,618,220,0,0,1.8,prot
1eq8,A,23,176,B,176,32,0,0,-1,prot
1et1,A,34,289,B,289,28,0,0,0.9,prot
1etr,L,36,290,H,2094,161,0,0,2.2,prot
1ets,L,36,290,H,2094,142,0,0,2.3,prot
1ett,L,36,290,H,2094,153,0,0,2.5,prot
1ev3,A,21,152,B,221,70,0,0,1.78,prot
1ev3,B,28,221,D,219,87,0,0,1.78,prot
1ev6,A,21,163,B,226,72,0,0,1.9,prot
1ev6,B,29,226,D,230,93,0,0,1.9,prot
1evr,A,21,156,B,226,64,0,0,1.9,prot
1evr,B,29,226,D,224,91,0,0,1.9,prot
1ezx,B,36,286,A,2623,249,0,0,2.6,prot
1f0c,B,36,287,A,2314,240,0,0,2.26,prot
1f2s,I,28,218,E,1629,82,0,0,1.79,prot
1f58,P,11,92,L,1658,51,0,1,2,prot
1f59,C,22,148,A,3440,88,0,0,2.8,prot
1f93,E,31,226,F,196,74,0,0,2.6,prot
1fav,C,31,260,A,628,64,0,1,3,prot
1fbm,A,46,366,B,366,134,0,0,2.7,prot
1fd3,A,41,299,C,291,34,0,0,1.35,prot
1fd4,A,41,299,B,299,64,0,0,1.7,prot
1fgl,B,12,85,A,1266,46,0,1,1.8,prot
1fiw,L,14,106,A,2032,73,0,0,2.1,prot
1fiz,L,13,97,A,2055,76,0,0,2.9,prot
1fll,X,21,153,A,1626,70,0,0,3.5,prot
1fm6,B,10,86,A,1754,63,0,0,2.1,prot
1fm9,B,10,86,A,1754,65,0,0,2.1,prot
1fmh,A,33,249,B,251,113,0,1,-1,prot
1fmo,I,20,157,E,2792,111,0,0,2.2,prot
1fpc,L,26,212,H,1993,120,0,0,2.3,prot
1fph,L,36,287,H,2093,139,0,0,2.5,prot
1fqj,C,38,297,A,2555,78,0,0,2.02,prot
1fu2,A,21,163,B,242,88,1,0,-1,prot
1fu2,B,30,242,D,242,96,1,0,-1,prot
1fub,A,21,163,B,242,92,1,0,-1,prot
1fub,B,30,242,A,163,86,1,0,-1,prot
1fv1,C,20,153,A,1459,91,0,0,1.9,prot
1g0v,B,29,223,A,2520,155,0,0,2,prot
1g0y,I,21,186,R,2508,140,0,0,3,prot
1g1i,A,43,354,B,347,104,0,1,2,prot
1g1j,A,43,358,B,362,118,0,1,1.86,prot
1g1s,C,13,119,B,1275,47,0,1,1.9,prot
1g2c,B,40,314,A,379,119,0,0,2.3,prot
1g2y,A,31,223,C,211,66,0,1,1,prot
1g2z,A,32,235,B,227,36,0,1,1.15,prot
1g30,A,27,223,B,2039,128,0,0,2,prot
1g32,A,27,223,B,2039,129,0,0,1.9,prot
1g39,A,28,202,C,214,70,0,0,1.22,prot
1g5j,B,25,219,A,1407,111,0,0,-1,prot
1g6u,A,48,358,B,360,113,0,0,1.48,prot
1g7a,A,21,163,B,236,90,0,0,1.2,prot
1g7a,B,30,236,A,163,104,0,0,1.2,prot
1g7b,A,21,163,B,236,89,0,0,1.3,prot
1g7b,B,30,236,A,163,105,0,0,1.3,prot
1g9i,I,22,162,E,1629,73,0,0,2.2,prot
1gcl,A,32,265,D,265,93,0,1,2.1,prot
1gcm,A,32,265,B,270,64,0,1,1.8,prot
1gff,3,12,97,1,3357,67,1,0,3,prot
1ghv,L,36,287,H,2026,158,0,0,1.85,prot
1ghw,L,36,287,H,2026,150,0,0,1.75,prot
1ghx,L,36,287,H,2026,140,1,0,1.65,prot
1ghy,L,36,287,H,2026,140,0,0,1.85,prot
1gi7,A,9,72,B,1931,48,0,0,1.79,prot
1gi8,A,9,72,B,1931,46,0,0,1.75,prot
1gi9,A,9,72,B,1930,46,0,0,1.8,prot
1gj4,L,28,231,H,2030,130,1,0,1.81,prot
1gj5,L,36,287,H,2025,156,1,0,1.73,prot
1gj7,A,10,80,B,1939,51,0,0,1.5,prot
1gj8,A,13,104,B,1930,57,0,0,1.64,prot
1gj9,A,10,80,B,1939,51,0,0,1.8,prot
1gja,A,13,104,B,1930,62,0,0,1.56,prot
1gjb,A,8,65,B,1939,41,0,0,1.9,prot
1gjc,A,9,72,B,1939,48,0,0,1.73,prot
1gjd,A,13,104,B,1930,63,0,0,1.75,prot
1gl0,I,32,230,E,1770,91,0,0,3,prot
1gl1,I,34,240,A,1754,74,0,0,2.1,prot
1gng,X,26,204,A,2799,89,0,0,2.6,prot
1guj,A,21,163,B,242,65,1,0,1.62,prot
1guj,B,30,242,A,163,70,1,0,1.62,prot
1gzl,A,46,384,C,117,49,0,1,1.8,prot
1h2k,S,24,186,A,2689,140,0,0,2.15,prot
1h2l,S,22,170,A,2693,129,0,0,2.25,prot
1h8d,L,29,225,H,2030,129,0,0,1.4,prot
1h8i,L,27,222,H,2052,130,0,0,1.75,prot
1h9h,I,30,204,E,1623,71,0,0,1.5,prot
1h9i,I,30,199,E,1634,68,0,0,1.9,prot
1hah,L,36,287,H,2053,167,0,0,2.3,prot
1hai,L,36,287,H,2053,172,0,0,2.4,prot
1hbt,L,27,222,H,2019,124,0,0,2,prot
1hdt,L,33,265,H,2093,132,0,0,2.6,prot
1hf9,A,41,351,B,351,124,0,0,-1,prot
1hgt,L,36,287,H,2053,173,0,0,2.2,prot
1hia,I,48,353,B,1141,63,0,0,2.4,prot
1hiq,A,21,162,B,236,71,0,0,-1,prot
1hiq,B,30,236,A,162,68,0,0,-1,prot
1his,A,21,162,B,199,83,0,0,-1,prot
1his,B,25,199,A,162,84,0,0,-1,prot
1hit,A,21,162,B,234,59,0,0,-1,prot
1hit,B,30,234,A,162,62,0,0,-1,prot
1hle,B,31,260,A,2741,249,0,0,1.95,prot
1hls,A,21,163,B,240,81,0,0,-1,prot
1hls,B,30,240,A,163,98,0,0,-1,prot
1hlt,L,27,218,H,2007,118,0,0,3,prot
1hr8,O,13,107,B,3414,85,0,0,2.7,prot
1hrt,L,36,290,H,2094,172,0,0,2.8,prot
1hs5,A,34,290,B,290,153,0,0,-1,prot
1htl,C,41,347,A,1513,131,0,0,2.5,prot
1htm,A,5,33,B,938,33,0,0,2.5,prot
1htr,P,43,362,B,2501,231,1,0,1.62,prot
1htv,A,21,163,B,218,97,0,0,1.9,prot
1htv,B,27,218,A,163,107,0,0,1.9,prot
1huc,A,47,364,B,1574,254,0,0,2.1,prot
1hui,A,21,162,B,230,68,0,0,-1,prot
1hui,B,29,230,A,162,75,0,0,-1,prot
1hxe,L,26,217,H,2007,119,0,0,2.1,prot
1hxf,L,26,217,H,2007,126,0,0,2.1,prot
1hym,A,45,322,B,200,111,0,1,-1,prot
1hym,B,24,200,A,322,102,0,0,-1,prot
1i5k,C,26,220,A,646,59,0,0,2.7,prot
1i8g,B,39,315,A,82,50,0,0,-1,prot
1i8h,B,39,315,A,101,32,0,0,-1,prot
1icf,B,42,336,A,1339,287,0,0,2,prot
1id5,L,30,239,H,2044,126,0,0,2.5,prot
1ihq,A,38,303,B,303,128,0,0,-1,prot
1ihs,L,30,228,H,2035,126,0,0,2,prot
1ihs,I,21,152,H,2035,125,0,1,2,prot
1iht,L,30,221,H,2038,131,0,0,2.1,prot
1ij0,A,32,259,B,259,74,0,1,1.86,prot
1ij1,A,32,260,C,260,66,0,1,1.86,prot
1ij2,A,31,257,C,261,80,0,1,1.7,prot
1ij3,A,33,269,C,260,87,0,1,1.8,prot
1ijd,B,40,317,A,350,75,0,0,3,prot
1ik9,C,28,231,A,1690,80,0,0,2.3,prot
1iod,G,44,401,B,1027,65,0,1,2.3,prot
1iog,A,21,159,B,230,95,0,0,-1,prot
1iog,B,29,230,A,159,118,0,0,-1,prot
1ioh,A,21,165,B,230,75,0,0,-1,prot
1ioh,B,29,230,A,165,95,0,0,-1,prot
1iq5,B,24,200,A,1125,146,0,0,1.8,prot
1iza,A,21,163,B,242,62,0,0,2.5,prot
1iza,B,30,242,A,163,61,0,0,2.5,prot
1izb,A,21,163,B,242,97,0,0,2,prot
1izb,B,30,242,A,163,118,0,1,2,prot
1izl,K,27,137,C,1792,25,0,0,3.7,prot
1izl,X,25,125,E,175,23,0,0,3.7,prot
1izl,F,30,166,E,175,30,0,0,3.7,prot
1izl,H,33,165,G,220,7,0,0,3.7,prot
1izl,I,26,130,F,166,15,0,0,3.7,prot
1j2j,B,41,339,A,1322,65,0,1,1.6,prot
1j34,C,46,433,A,1030,76,0,1,1.55,prot
1j35,C,46,433,A,1030,66,0,1,1.8,prot
1j73,A,21,163,B,242,87,0,1,2,prot
1j73,B,30,242,A,163,110,0,0,2,prot
1jac,B,15,105,A,1040,61,0,0,2.43,prot
1jb0,M,31,241,B,5879,119,0,0,2.5,prot
1jb0,X,29,233,B,5879,44,0,1,2.5,prot
1jb0,I,38,301,B,5879,104,0,0,2.5,prot
1jb0,J,41,338,F,1065,89,0,0,2.5,prot
1jbp,S,20,155,E,2711,105,0,0,2.2,prot
1jca,A,21,165,B,242,87,0,0,2.5,prot
1jca,B,30,242,A,165,102,0,1,2.5,prot
1jco,A,21,163,B,242,92,0,0,-1,prot
1jco,B,30,242,A,163,79,0,0,-1,prot
1jdh,B,38,274,A,3751,172,0,0,1.9,prot
1jdp,H,18,124,A,3130,65,0,0,2,prot
1jeg,B,18,144,A,472,73,0,0,-1,prot
1jek,A,42,305,B,293,99,0,1,1.5,prot
1jek,B,36,293,A,305,100,0,1,1.5,prot
1jgn,B,22,169,A,722,106,0,0,-1,prot
1jh4,B,22,171,A,722,108,0,0,-1,prot
1jjo,A,40,307,C,1950,160,0,0,3.06,prot
1jjo,E,33,280,C,1950,202,0,0,3.06,prot
1jlu,S,20,159,E,2679,111,0,1,2.25,prot
1jmo,L,47,378,H,2092,200,0,0,2.2,prot
1jmq,A,46,376,P,70,64,0,0,-1,prot
1jmt,B,23,193,A,806,103,0,1,2.2,prot
1jmu,A,33,230,B,4641,177,0,0,2.8,prot
1jot,B,16,118,A,1048,73,0,0,2.2,prot
1jou,A,45,366,B,2092,201,0,0,1.8,prot
1jpw,D,24,170,A,3803,127,0,0,2.5,prot
1jsp,A,20,168,B,1015,41,0,1,-1,prot
1-Jun,A,44,340,B,340,86,0,1,-1,prot
1jy2,P,44,351,N,349,96,0,0,1.4,prot
1jy3,P,46,357,S,370,91,0,0,1.6,prot
1jy4,A,35,276,B,276,49,1,1,-1,prot
1jy6,A,24,190,B,190,43,0,1,-1,prot
1k09,A,26,208,B,209,86,1,1,-1,prot
1k21,L,27,222,H,2014,127,0,0,1.86,prot
1k22,L,29,239,H,2029,137,0,0,1.93,prot
1k2d,P,12,84,B,1558,77,0,0,2.2,prot
1k3m,A,21,160,B,240,83,0,0,-1,prot
1k3m,B,30,240,A,160,93,0,0,-1,prot
1k4u,P,32,239,S,490,101,0,0,-1,prot
1k5r,A,41,332,B,70,42,0,1,-1,prot
1k6f,A,29,176,B,176,140,0,0,1.3,prot
1k74,B,10,86,A,1754,63,0,0,2.3,prot
1k7l,B,13,110,A,2118,67,0,0,2.5,prot
1k9q,A,40,331,B,38,58,0,0,-1,prot
1k9r,A,40,331,B,45,60,0,0,-1,prot
1kbh,A,47,358,B,460,209,0,0,-1,prot
1kc4,B,19,157,A,551,64,0,0,-1,prot
1kd8,A,36,283,B,283,121,0,1,1.9,prot
1kd9,A,36,267,B,273,122,0,1,2.1,prot
1kd9,B,35,273,A,267,120,0,0,2.1,prot
1kdd,B,36,280,A,270,114,0,1,2.14,prot
1kdd,A,35,270,B,280,119,0,0,2.14,prot
1kdx,B,28,235,A,672,98,0,1,-1,prot
1kil,E,41,350,A,532,65,0,0,2.3,prot
1kjy,B,35,278,A,2551,169,0,1,2.7,prot
1kl8,B,19,157,A,551,60,0,0,-1,prot
1kmf,A,21,163,B,240,87,0,1,-1,prot
1kmf,B,30,240,A,163,112,0,0,-1,prot
1krl,A,44,373,B,393,193,0,0,1.9,prot
1kts,A,27,223,B,2039,130,0,0,2.4,prot
1ktt,A,27,223,B,2039,130,0,0,2.1,prot
1kup,B,25,222,A,104,42,0,0,-1,prot
1kuz,B,25,222,A,104,40,0,0,-1,prot
1kzu,B,41,324,A,374,77,0,0,2.5,prot
1l3e,A,42,318,B,790,169,0,0,-1,prot
1l3r,I,20,155,E,2731,111,0,0,2,prot
1l4w,B,25,221,A,551,99,0,0,-1,prot
1l6e,A,46,381,B,381,94,0,0,-1,prot
1l6x,B,34,291,A,1658,81,0,0,1.65,prot
1ldk,E,41,331,D,926,70,0,0,3.1,prot
1ldt,L,46,326,T,1642,66,0,0,1.9,prot
1lgh,B,43,351,A,423,83,0,0,2.4,prot
1lhc,L,26,214,H,2018,127,1,0,1.95,prot
1lhd,L,26,214,H,2018,120,0,0,2.35,prot
1lhe,L,26,214,H,2018,129,0,0,2.25,prot
1lhf,L,26,214,H,2018,127,0,0,2.4,prot
1lhg,L,26,214,H,2018,127,0,0,2.25,prot
1lj2,C,22,159,A,866,54,0,0,2.38,prot
1ljz,B,25,221,A,551,107,0,0,-1,prot
1lkq,A,21,156,B,240,79,0,0,-1,prot
1lkq,B,30,240,A,156,97,0,0,-1,prot
1lm8,H,15,128,V,1226,92,0,1,1.85,prot
1lmw,A,9,62,B,1960,39,0,0,2.5,prot
1lph,A,21,157,B,240,88,1,0,2.3,prot
1lph,B,30,240,A,157,101,1,1,2.3,prot
1lq8,B,29,245,A,2598,222,0,0,2.4,prot
1lqb,D,18,153,C,1232,105,0,1,2,prot
1lqv,C,33,304,A,1401,52,0,1,1.6,prot
1lta,C,45,384,A,1531,132,0,0,2.2,prot
1ltb,C,41,347,A,1511,127,0,0,2.6,prot
1ltg,C,41,347,A,1429,128,0,0,2.4,prot
1lti,C,41,347,A,1511,128,0,0,2.13,prot
1lts,C,41,347,A,1511,126,0,0,1.95,prot
1ltt,C,41,347,A,1511,128,0,0,2.3,prot
1lu0,A,29,222,B,222,16,0,0,1.03,prot
1m1d,B,6,92,A,1369,92,0,1,2.2,prot
1m2z,B,21,172,A,2074,78,0,0,2.5,prot
1m3w,A,31,261,B,261,94,0,1,2.8,prot
1m45,B,25,211,A,1104,134,0,0,1.65,prot
1m46,B,25,216,A,1148,81,0,0,2.1,prot
1m5a,A,21,163,B,240,102,0,0,1.2,prot
1m5a,B,30,240,A,163,124,0,0,1.2,prot
1m5n,Q,28,211,S,3772,100,0,0,2.9,prot
1m7l,A,40,309,B,309,85,0,0,-1,prot
1m8o,A,20,169,B,395,27,0,0,-1,prot
1m8o,B,47,395,A,169,28,0,0,-1,prot
1m93,C,31,253,B,1920,185,0,0,1.65,prot
1mct,I,28,213,A,1642,70,0,0,1.6,prot
1mcv,I,28,201,A,1822,88,0,0,1.8,prot
1mhi,A,21,162,B,243,86,1,0,-1,prot
1mhi,B,30,243,A,162,106,1,0,-1,prot
1mhj,A,21,163,B,231,93,0,0,-1,prot
1mhj,B,29,231,A,163,107,0,0,-1,prot
1mhw,C,41,327,A,1327,283,0,0,1.9,prot
1mk2,B,38,267,A,1565,154,0,0,2.74,prot
1mkw,L,29,243,H,2064,125,0,0,2.3,prot
1mkx,L,29,243,H,2064,124,0,0,2.2,prot
1mpj,A,21,163,B,223,63,0,0,2.3,prot
1mpj,B,28,223,A,163,62,0,1,2.3,prot
1mso,A,21,163,B,242,94,0,0,1,prot
1mso,B,30,242,A,163,117,0,0,1,prot
1mtp,B,35,275,A,2439,262,0,0,1.5,prot
1mu6,A,26,214,B,2022,123,0,0,1.99,prot
1mu8,A,26,214,B,2022,123,0,0,2,prot
1mue,A,26,214,B,2018,125,0,0,2,prot
1muj,C,15,113,A,1474,83,0,0,2.15,prot
1mv4,A,37,290,B,290,102,0,0,-1,prot
1mxe,E,25,211,A,1132,151,0,0,1.7,prot
1mz9,A,45,362,B,362,131,0,0,1.7,prot
1mzw,B,31,242,A,1323,56,0,0,2,prot
1n0w,B,33,260,A,1620,117,1,0,1.7,prot
1n0x,P,21,170,R,160,42,0,1,1.8,prot
1n1l,C,21,149,A,1337,89,0,0,2.6,prot
1n2d,C,48,389,A,1142,136,0,0,2,prot
1ni8,A,46,371,B,371,186,0,0,-1,prot
1niw,B,19,147,A,1143,124,0,0,2.05,prot
1nkz,B,41,323,A,403,77,0,0,2,prot
1no9,L,36,287,H,2053,173,0,0,1.9,prot
1-Nov,D,20,149,A,2300,77,0,0,3.5,prot
1nrl,C,15,127,A,2249,71,0,0,2,prot
1nrn,L,29,240,H,1999,105,0,0,3.1,prot
1nrn,R,19,171,H,1999,75,0,0,3.1,prot
1nro,L,29,238,H,2038,113,1,0,3.1,prot
1nro,R,10,83,H,2038,57,0,0,3.1,prot
1nrp,L,29,240,H,2049,113,0,0,3,prot
1nrp,R,10,83,H,2049,54,0,1,3,prot
1nrq,L,23,191,H,1933,84,0,0,3.5,prot
1nrq,R,11,76,H,1933,47,0,1,3.5,prot
